Province/State,Country,Lat,Long,ConfirmedCases,RecoveredCases,Deaths,
,Afghanistan,33.93911,67.709953,35727,23924,1190,Afghanistan
,Albania,41.1533,20.1683,4358,2463,120,Albania
,Algeria,28.0339,1.6596,24872,16983,1111,Algeria
,Andorra,42.5063,1.5218,889,803,52,Andorra
,Angola,-11.2027,17.8739,812,221,33,Angola
,Antigua and Barbuda,17.0608,-61.7964,76,58,3,Antigua and Barbuda
,Argentina,-38.4161,-63.6167,141900,60531,2588,Argentina
,Armenia,40.0691,45.0382,35693,24766,678,Armenia
Australian Capital Territory,Australia,-35.4735,149.0124,113,109,3,Australia
New South Wales,Australia,-33.8688,151.2093,3633,2988,49,Australia
Northern Territory,Australia,-12.4634,130.8456,31,30,0,Australia
Queensland,Australia,-27.4698,153.0251,1074,1063,6,Australia
South Australia,Australia,-34.9285,138.6007,446,441,4,Australia
Tasmania,Australia,-42.8821,147.3272,229,215,13,Australia
Victoria,Australia,-37.8136,144.9631,7125,3298,49,Australia
Western Australia,Australia,-31.9505,115.8605,651,626,9,Australia
,Austria,47.5162,14.5501,19929,17849,711,Austria
,Azerbaijan,40.1431,47.5769,28633,20443,385,Azerbaijan
,Bahamas,25.025885,-78.035889,219,91,11,Bahamas
,Bahrain,26.0275,50.55,37637,33894,130,Bahrain
,Bangladesh,23.685,90.3563,213254,117202,2751,Bangladesh
,Barbados,13.1939,-59.5432,106,94,7,Barbados
,Belarus,53.7098,27.9534,66521,59061,513,Belarus
,Belgium,50.8333,4.469936,64627,17347,9808,Belgium
,Benin,9.3077,2.3158,1690,782,34,Benin
,Bhutan,27.5142,90.4336,92,83,0,Bhutan
,Bolivia,-16.2902,-63.5887,64135,19721,2328,Bolivia
,Bosnia and Herzegovina,43.9159,17.6791,9115,4159,268,Bosnia and Herzegovina
,Brazil,-14.235,-51.9253,2227514,1591975,82771,Brazil
,Brunei,4.5353,114.7277,141,138,3,Brunei
,Bulgaria,42.7339,25.4858,9584,4643,321,Bulgaria
,Burkina Faso,12.2383,-1.5616,1066,917,53,Burkina Faso
,Cabo Verde,16.5388,-23.0418,2154,1132,21,Cabo Verde
,Cambodia,11.55,104.9167,198,142,0,Cambodia
,Cameroon,3.848,11.5021,16522,13728,382,Cameroon
Alberta,Canada,53.9333,-116.5765,9728,99501,172,Canada
British Columbia,Canada,53.7267,-127.6476,3328,0,189,Canada
Grand Princess,Canada,0,0,13,0,0,Canada
Manitoba,Canada,53.7609,-98.8139,374,0,7,Canada
New Brunswick,Canada,46.5653,-66.4619,170,0,2,Canada
Newfoundland and Labrador,Canada,53.1355,-57.6604,264,0,3,Canada
Nova Scotia,Canada,44.682,-63.7443,1067,0,63,Canada
Ontario,Canada,51.2538,-85.3232,39824,0,2799,Canada
Prince Edward Island,Canada,46.5107,-63.4168,36,0,0,Canada
